Épocas,Clase,DSC
1,1,0.44056421561924414
1,2,0.3807655988958414
1,3,0.4299930771891528
1,4,0.4844588344123568
1,5,0.5532600322147536
1,6,0.5901245048099957
1,7,0.4191332583986392
1,8,0.5378593199064496
1,9,0.4659844453538821
1,10,0.37822723459764274
1,11,0.5064683358806696
1,12,0.5311043535397486
1,13,0.5734068470314256
1,14,0.5888645330992596
1,15,0.48475478828438995
1,16,0.45157593123166034
1,17,0.4462380628919874
1,18,0.4612233995190853
1,19,0.42090135663358796
1,20,0.4506179473400187
1,21,0.2532299741599886
1,22,0.4205953897831457
1,23,0.4845781958548572
1,24,0.5387094514115678
1,25,0.41643770158871907
1,26,0.37125242800428704
1,27,0.3790147933505021
1,28,0.40314944152334536
1,29,0.5105283066447043
1,30,0.33602748029896545
1,31,0.3379822073733196
1,32,0.23755307556448443
50,1,0.5758215039152259
50,2,0.5280460806017656
50,3,0.5145254420784399
50,4,0.5544900562140136
50,5,0.682661900178274
50,6,0.6091904350326929
50,7,0.46438494569306366
50,8,0.6126980455645815
50,9,0.5182138660397355
50,10,0.472196812863862
50,11,0.595985924670827
50,12,0.5987770983878983
50,13,0.6046289045503329
50,14,0.6865571290495918
50,15,0.5407815368471538
50,16,0.4832315641141538
50,17,0.46993635034081
50,18,0.4779179107802313
50,19,0.4365441450746216
50,20,0.4544081148158913
50,21,0.27019041365703367
50,22,0.4175509979653502
50,23,0.5405011655009686
50,24,0.5433752538385609
50,25,0.47513129440828994
50,26,0.41255554289608853
50,27,0.48074596476718684
50,28,0.4623794543859362
50,29,0.5772987259698575
50,30,0.44171224732450853
50,31,0.40661116948177217
50,32,0.3208191126278686
100,1,0.5730611658160403
100,2,0.5337466535154626
100,3,0.5072522705704635
100,4,0.5384356197349995
100,5,0.6648545800484745
100,6,0.6127175945902656
100,7,0.45825543162887095
100,8,0.6039580908029081
100,9,0.5036930129890043
100,10,0.45675171126300473
100,11,0.596065563425737
100,12,0.6095391059252351
100,13,0.6110251117988429
100,14,0.6955574182729691
100,15,0.5185934733109717
100,16,0.49274558728352946
100,17,0.4756618451188586
100,18,0.47852289912636203
100,19,0.441997729852315
100,20,0.4590788379515387
100,21,0.28321649484512723
100,22,0.4093560814527191
100,23,0.5314329345887607
100,24,0.5421843397859931
100,25,0.46996357056109195
100,26,0.41166815446182753
100,27,0.4788416737930233
100,28,0.4603299692400386
100,29,0.5669966996698501
100,30,0.4494744218639455
100,31,0.39286866731187764
100,32,0.3059345535217948
